l  0.0   5.0   0.1    50.0 0.0 0.0
l -3.0   3.0   0.3    0.0 30.0 0.0
l  3.0   3.0  -0.2    0.0 0.0 30.0

g -0.7196 0.5912 -0.4730  0.011389 -0.002219 -0.007998 0.006676 0.004108 0.011038  0.4154 0.2628  0.8136 0.5983 0.2438
g 0.6303 0.0610 -0.9380  0.005237 -0.000553 0.001346 0.004716 0.000102 0.005776  0.4116 0.5442  0.7867 0.5042 0.6624
g -0.6049 0.6016 0.4264  0.004625 0.000712 -0.000219 0.014881 0.002421 0.025014  0.2720 0.9397  0.0099 0.4222 0.6173
g 0.3128 1.8055 -0.2262  0.012973 0.001101 0.001863 0.009799 0.002068 0.005215  0.2162 0.3151  0.8969 0.5789 0.6223
g 0.9999 0.3215 0.4158  0.004577 0.002671 0.002774 0.017919 -0.002651 0.017311  0.2736 0.3267  0.7248 0.0593 0.2577
g 0.0638 0.0948 0.2103  0.004117 -0.000142 0.000030 0.003248 -0.001616 0.014963  0.4930 0.6546  0.6817 0.1862 0.8001
g -0.4998 0.4819 -0.6405  0.009823 -0.008431 -0.000190 0.019540 -0.004098 0.017390  0.2397 0.4877  0.9458 0.3224 0.7529
g 0.2562 0.7075 0.0807  0.007853 0.000591 -0.000116 0.008460 -0.000809 0.008474  0.2781 0.6296  0.2018 0.2289 0.9676
g 0.1433 1.5741 -0.4776  0.003173 -0.000097 -0.000289 0.004224 0.000146 0.004079  0.2211 0.8093  0.9871 0.6958 0.3531
g 0.3029 0.9514 -0.8616  0.025886 0.005682 0.006189 0.013204 0.001576 0.008777  0.3314 0.3568  0.9023 0.7097 0.2377
g 0.3821 1.4703 -0.3300  0.009450 0.000497 0.002321 0.005776 -0.002519 0.012246  0.4262 0.6672  0.8578 0.2752 0.0667
g 0.1233 1.8092 -0.9453  0.007962 0.000048 -0.001526 0.018854 0.007392 0.015913  0.2763 0.7279  0.5030 0.2014 0.8381
g 0.2096 0.4847 -0.0789  0.008505 0.005996 -0.003641 0.015599 -0.008531 0.010502  0.2309 0.6787  0.6311 0.4560 0.7299
g -0.8387 0.3081 0.3822  0.018019 -0.002202 -0.000624 0.012544 0.000199 0.013884  0.4568 0.5747  0.6219 0.6667 0.3095
g -0.8520 1.4437 0.9628  0.007127 -0.006365 -0.002297 0.018944 0.008089 0.010174  0.3394 0.8152  0.4568 0.8973 0.6836
g -0.1102 0.8873 0.9402  0.005890 0.000111 0.000001 0.008398 -0.003939 0.009644  0.2240 0.7277  0.3037 0.6172 0.9760
g 0.4791 1.9310 -0.3263  0.010685 -0.004174 0.010322 0.006231 -0.006975 0.020774  0.2982 0.5340  0.1626 0.4857 0.8616
g 0.5733 1.7810 0.5966  0.018053 -0.001593 -0.000677 0.017016 -0.000978 0.018368  0.2918 0.8209  0.5911 0.6967 0.3646
